"Date","Open","High","Low","Close","Adj.Close","Volume","sma","pricevolatility"
"2016-02-26",148000,148000,144500,147000,111523.6796875,351408,139650,3500
"2016-02-29",145500,149000,144500,147500,111903.0078125,570117,140175,4500
"2016-03-02",150000,150000,148000,150000,113799.6796875,539821,140925,2000
"2016-03-03",151500,151500,146000,147500,111903.0078125,627810,141650,5500
"2016-03-04",146000,147500,143500,147500,111903.0078125,696287,142400,4000
"2016-03-07",147500,147500,145500,146500,111144.3515625,317439,143250,2000
"2016-03-08",145000,149500,145000,148000,112282.3359375,366489,144200,4500
"2016-03-09",147000,149500,146500,149500,113420.3515625,452965,145050,3000
"2016-03-10",149000,150000,148000,148000,112282.3359375,690061,145775,2000
"2016-03-11",147500,150000,147500,149000,113041.03125,408175,146675,2500
"2016-03-14",150000,150500,147000,148500,112661.671875,362075,147250,3500
"2016-03-15",148500,149000,146000,147000,111523.6796875,309077,147625,3000
"2016-03-16",147000,148000,145500,146500,111144.3515625,206136,147900,2500
"2016-03-17",148000,148500,146000,146500,111144.3515625,492380,147875,2500
"2016-03-18",148000,150500,147500,150500,114178.984375,769047,148050,3000
"2016-03-21",151000,155000,149500,154500,117213.65625,803657,148325,5500
"2016-03-22",155500,159000,155000,159000,120627.640625,872121,148900,4000
"2016-03-23",159500,159500,157000,158000,119868.96875,454762,149350,2500
"2016-03-24",156500,157000,154500,155500,117972.328125,288522,149675,2500
"2016-03-25",154500,155500,152000,153000,116075.6640625,279961,149975,3500
"2016-03-28",153000,156500,152000,154000,116834.3203125,186865,150325,4500
"2016-03-29",155000,156000,153500,155000,117592.9921875,229075,150700,2500
"2016-03-30",156000,159000,155000,155500,117972.328125,373060,150975,4000
"2016-03-31",156000,156000,151500,152500,115696.3125,575626,151225,4500
"2016-04-01",152500,152500,147500,149500,113420.3515625,604435,151325,5000
"2016-04-04",148500,149500,143500,144000,109247.6875,767267,151200,6000
"2016-04-05",144000,145000,143500,144500,109627.0234375,292339,151025,1500
"2016-04-06",144000,146000,144000,144000,109247.6875,379789,150750,2000
"2016-04-07",143500,146500,143500,146500,111144.3515625,366852,150675,3000
"2016-04-08",146000,146500,144000,146000,110765.0234375,339546,150525,2500
"2016-04-11",147500,147500,145000,146000,110765.0234375,197423,150400,2500
"2016-04-12",146000,150000,145000,148500,112661.671875,361212,150475,5000
"2016-04-14",150000,152000,149500,152000,115317.015625,496852,150750,2500
"2016-04-15",150500,152000,149000,151500,114937.6796875,297722,151000,3000
"2016-04-18",150000,155000,150000,154000,116834.3203125,406339,151175,5000
"2016-04-19",155000,155000,152000,153000,116075.6640625,310407,151100,3000
"2016-04-20",153500,155000,151000,151500,114937.6796875,270230,150725,4000
"2016-04-21",152000,154500,152000,154000,116834.3203125,297646,150525,2500
"2016-04-22",152000,153500,150500,151000,114558.3359375,318972,150300,3000
"2016-04-25",151000,152000,149000,149500,113420.3515625,273343,150125,3000
"2016-04-26",149000,154000,149000,153500,116454.984375,365930,150100,5000
"2016-04-27",152000,153000,148500,149000,113041.03125,374037,149800,4500
"2016-04-28",148500,150500,147000,148000,112282.3359375,466520,149425,3500
"2016-04-29",146500,147500,142000,143500,108868.375,739237,148975,5500
"2016-05-02",142000,144000,141500,142500,108109.703125,242036,148625,2500
"2016-05-03",143000,144000,142000,142500,108109.703125,359029,148550,2000
"2016-05-04",141500,142000,138500,139000,105454.3671875,807340,148275,3500
"2016-05-09",138500,139000,135500,135500,102799.0390625,482711,147850,3500
"2016-05-10",136500,140500,136500,139500,105833.703125,346710,147500,4000
"2016-05-11",140500,142000,138500,139000,105454.3671875,284228,147150,3500
"2016-05-12",138000,138500,136500,136500,103557.71875,421047,146675,2000
"2016-05-13",136000,137500,135000,135000,102419.7109375,529746,146000,2500
"2016-05-16",136500,137500,135000,135500,102799.0390625,397771,145175,2500
"2016-05-17",135500,136500,134500,134500,102040.3828125,314839,144325,2000
"2016-05-18",135000,135500,132000,133000,100902.390625,630692,143275,3500
"2016-05-19",132500,136000,132500,134500,102040.3828125,389055,142350,3500
